rspm,no2,so2,rainfall,humidity,temperature,year,quarter,No of districts,Locations
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2020,4,4,"['HIMACHALPRADESH_UNA' 'PUNJAB_GURDASPUR' 'PUNJAB_HOSHIARPUR'
  'PUNJAB_RUPNAGAR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2021,1,8,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SOLAN' 'HIMACHALPRADESH_UNA'
  'MADHYAPRADESH_CHHATARPUR' 'PUNJAB_FARIDKOT' 'PUNJAB_GURDASPUR'
  'PUNJAB_HOSHIARPUR' 'PUNJAB_RUPNAGAR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2021,4,3,['HIMACHALPRADESH_UNA' 'PUNJAB_GURDASPUR' 'PUNJAB_RUPNAGAR']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2022,1,8,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SOLAN' 'HIMACHALPRADESH_UNA'
  'MADHYAPRADESH_CHHATARPUR' 'PUNJAB_FARIDKOT' 'PUNJAB_GURDASPUR'
  'PUNJAB_HOSHIARPUR' 'PUNJAB_RUPNAGAR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2022,4,4,"['HIMACHALPRADESH_UNA' 'PUNJAB_GURDASPUR' 'PUNJAB_HOSHIARPUR'
  'PUNJAB_RUPNAGAR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2023,1,7,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SOLAN' 'HIMACHALPRADESH_UNA'
  'MADHYAPRADESH_CHHATARPUR' 'PUNJAB_FARIDKOT' 'PUNJAB_GURDASPUR'
  'PUNJAB_HOSHIARPUR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2023,4,2,['HIMACHALPRADESH_UNA' 'PUNJAB_GURDASPUR']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2024,1,7,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SOLAN' 'HIMACHALPRADESH_UNA'
  'MADHYAPRADESH_CHHATARPUR' 'PUNJAB_FARIDKOT' 'PUNJAB_GURDASPUR'
  'PUNJAB_HOSHIARPUR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2024,2,1,['HIMACHALPRADESH_UNA']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2024,4,2,['PUNJAB_GURDASPUR' 'PUNJAB_HOSHIARPUR']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2025,1,7,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SOLAN' 'HIMACHALPRADESH_UNA'
  'MADHYAPRADESH_CHHATARPUR' 'PUNJAB_FARIDKOT' 'PUNJAB_GURDASPUR'
  'PUNJAB_HOSHIARPUR']"
