Location,Year,Quarter,totalcases,newsmearpositivecases,rainfall,Humidity,temp,so2,no2,rspm
ANDHRAPRADESH_GUNTUR,2016,3,1622,785,630.1,76.41408961,29.78611828,4.91747,29.08961,89.798544
ANDHRAPRADESH_GUNTUR,2016,4,1693,765,48.4,67.61464516,26.6129767,5.04593,29.025317,89.780856
ANDHRAPRADESH_GUNTUR,2017,1,1581,753,3.3,56.95003072,26.73362135,5.03648,26.07956,67.897518
ANDHRAPRADESH_GUNTUR,2017,2,2066,966,160.4,56.65496058,32.78700717,5.118605,26.254098,67.869642
ANDHRAPRADESH_GUNTUR,2017,3,1460,726,526.7,80.10519355,29.33879928,4.91747,26.08034,70.410222
ANDHRAPRADESH_GUNTUR,2017,4,1647,851,149,77.64921505,26.58670251,5.04593,26.022698,70.396353
ANDHRAPRADESH_GUNTUR,2018,1,1524,791,5.7,54.46655146,26.26106951,5.03648,21.56579,48.4630835
ANDHRAPRADESH_GUNTUR,2018,2,1584,810,152.7,59.49299641,32.43706989,5.118605,21.7101195,48.4431865
ANDHRAPRADESH_GUNTUR,2018,3,1506,742,529.6,73.40781721,29.63039606,4.91747,21.566435,50.2565715
ANDHRAPRADESH_GUNTUR,2018,4,1803,752,134.3,72.97217563,26.75854481,5.04593,21.5187695,50.24667225
ANDHRAPRADESH_KRISHNA,2005,1,1493,610,16,63.1741705,26.20405146,5.8,29.5,87
ANDHRAPRADESH_KRISHNA,2005,2,1302,560,175.9,61.43531183,31.44767025,6.1,31.25,82
ANDHRAPRADESH_KRISHNA,2005,3,1463,608,919.1,83.21901075,27.9733871,5.65,33.65,83.5
ANDHRAPRADESH_KRISHNA,2005,4,1600,549,331.8,84.2031362,24.85215054,5.808333333,31.11666667,68.33333333
ANDHRAPRADESH_KRISHNA,2006,1,1370,479,28.3,64.4952957,25.52227343,5.375555556,30.24666667,85.64444444
ANDHRAPRADESH_KRISHNA,2006,2,1458,556,250.6,65.88505018,30.41471326,5.375,32,88.38461538
ANDHRAPRADESH_KRISHNA,2006,3,1493,615,454.8,80.0092043,28.32956989,5.626086957,32.50869565,85.56521739
ANDHRAPRADESH_KRISHNA,2006,4,1525,603,619.2,81.99659498,25.53969534,5.968085106,30.67659574,84.55319149
ANDHRAPRADESH_KRISHNA,2007,1,1439,591,15.8,67.45820276,25.50839094,6.512727273,32.92545455,88.12727273
ANDHRAPRADESH_KRISHNA,2007,2,1424,658,266.1,61.98331899,30.76100358,6.433928571,32.67368421,87.79661017
ANDHRAPRADESH_KRISHNA,2007,3,1458,624,721.3,86.31778853,27.98974911,10.07272727,37.52,85.12
ANDHRAPRADESH_KRISHNA,2007,4,1541,682,199.2,80.1418172,25.40112903,6.632692308,43.48269231,92.28846154
ANDHRAPRADESH_KRISHNA,2008,1,1490,679,213.8,68.61154246,25.38461253,6.035714286,34.73392857,101.75
ANDHRAPRADESH_KRISHNA,2008,2,1451,648,138.6,58.44597849,30.74232975,5.739655172,29.13965517,101.2413793
ANDHRAPRADESH_KRISHNA,2008,3,1494,676,828.1,83.02546595,27.81283154,5.163461538,25.54807692,91.63461538
ANDHRAPRADESH_KRISHNA,2008,4,1530,682,205.1,80.12501433,25.59026882,4.957407407,21.80740741,89.87037037
ANDHRAPRADESH_KRISHNA,2009,1,1466,639,9.9,62.57370584,26.04180108,4.551785714,13.36071429,80.23214286
ANDHRAPRADESH_KRISHNA,2009,2,1336,621,136.9,63.83905376,31.19114695,4.562962963,14.21111111,78.03703704
ANDHRAPRADESH_KRISHNA,2009,3,1508,665,339.5,77.38725448,28.97295699,4.656,13.18,83.24
ANDHRAPRADESH_KRISHNA,2009,4,1566,649,182.4,75.77915054,25.66353046,4.9125,14.703125,76
ANDHRAPRADESH_KRISHNA,2010,1,1566,680,5.7,62.29662442,26.31912442,4.966666667,12.46666667,98.5
ANDHRAPRADESH_KRISHNA,2010,2,1448,626,312.1,66.16930466,31.64155914,4.448275862,12.5,114.8793103
ANDHRAPRADESH_KRISHNA,2010,3,1370,620,957.2,85.69086021,27.36191756,7.555555556,15.03703704,77.2037037
ANDHRAPRADESH_KRISHNA,2010,4,1408,649,333.1,86.13344444,25.07284946,6.574074074,14.77777778,79.22222222
ANDHRAPRADESH_KRISHNA,2012,1,1286,633,63,61.78946237,25.84149386,6.625,11.34375,97.40625
ANDHRAPRADESH_KRISHNA,2012,2,1323,628,227.4,61.48663441,31.75824373,6.62962963,11.62962963,99.66666667
ANDHRAPRADESH_KRISHNA,2012,3,1249,596,735.1,82.12730466,27.87679212,6.296296296,11.81481481,89.03703704
ANDHRAPRADESH_KRISHNA,2012,4,1280,611,306.9,81.71057347,25.33103943,5.172413793,13.62068966,95.03448276
ANDHRAPRADESH_KRISHNA,2013,1,1241,564,85.1,65.63286482,25.83536866,5.147540984,20.86885246,108.0491803
ANDHRAPRADESH_KRISHNA,2013,2,1265,598,237.2,63.94226882,31.23130824,4.679012346,18.48780488,108.902439
ANDHRAPRADESH_KRISHNA,2013,3,1106,527,508,82.09346237,27.96528674,4.786666667,18.97368421,95.10526316
ANDHRAPRADESH_KRISHNA,2013,4,1049,453,374,83.38235842,25.34216846,4.862068966,19.77586207,105.1034483
ANDHRAPRADESH_KRISHNA,2014,1,1212,612,35.2,66.05571045,26.58177803,4.901234568,23.02469136,97.18518519
ANDHRAPRADESH_KRISHNA,2014,2,1313,646,124.5,57.80108244,33.21525089,4.962962963,24.40740741,100.2469136
ANDHRAPRADESH_KRISHNA,2014,3,1297,609,608.1,76.95441219,29.89586021,4.948717949,24.56410256,97.57692308
ANDHRAPRADESH_KRISHNA,2014,4,1234,553,163.8,74.5856595,26.3265233,4.935897436,24.21794872,106.4487179
ANDHRAPRADESH_KRISHNA,2015,1,1064,502,8.4,60.34526498,24.53890169,5.024691358,28.30864198,111.6049383
ANDHRAPRADESH_KRISHNA,2015,2,1119,525,254.9,63.89241935,29.54621864,5.666666667,31.90666667,107.8133333
ANDHRAPRADESH_KRISHNA,2015,3,1073,519,450,79.32433692,28.11437276,5.777777778,41.02777778,106.8082192
ANDHRAPRADESH_KRISHNA,2015,4,1272,615,163.6,76.03743728,25.51994624,5.705128205,48.48717949,110.4358974
ANDHRAPRADESH_KURNOOL,2007,1,1474,464,1.9,48.80213902,26.80422427,4,19.67307692,84.26923077
ANDHRAPRADESH_KURNOOL,2007,2,1523,559,451.3,54.64359857,31.08451613,4,16.33461538,80.11538462
ANDHRAPRADESH_KURNOOL,2007,3,1421,527,637.8,82.5789785,27.43817204,4,15.15517241,81.57142857
ANDHRAPRADESH_KURNOOL,2007,4,1518,500,62.5,74.9585233,24.99496416,4.231034483,15.86206897,74.68965517
ANDHRAPRADESH_KURNOOL,2008,1,1606,520,157.3,54.81033742,26.11542455,4,11.64444444,73.07407407
ANDHRAPRADESH_KURNOOL,2008,2,1543,562,103.7,51.57370251,30.96094982,4,11.14827586,69.48275862
ANDHRAPRADESH_KURNOOL,2008,3,1476,518,551.1,76.17042652,27.49096774,4,9.683333333,68.45833333
ANDHRAPRADESH_KURNOOL,2008,4,1570,517,136.4,72.4518172,25.13702509,4,9.692307692,73.61538462
ANDHRAPRADESH_KURNOOL,2009,1,1525,501,4,45.41224655,26.92955069,4,9,76.23076923
ANDHRAPRADESH_KURNOOL,2009,2,1557,567,172.3,51.47601075,31.57928315,4,9,76.88888889
ANDHRAPRADESH_KURNOOL,2009,3,1412,509,301.9,72.36651613,28.13566308,4,9,77.19047619
ANDHRAPRADESH_KURNOOL,2009,4,1180,465,230.2,76.67006093,25.4878853,4,9,90.53333333
ANDHRAPRADESH_KURNOOL,2010,1,1476,575,32.2,50.62907834,28.23544547,4,9,97.03333333
ANDHRAPRADESH_KURNOOL,2010,2,1455,584,163.6,49.97464516,32.9953405,4,9,87.64285714
ANDHRAPRADESH_KURNOOL,2010,3,1465,533,613,82.00208244,28.11166667,4,9,76.06896552
ANDHRAPRADESH_KURNOOL,2010,4,1378,505,90.3,79.56022581,25.74317204,4,9,77.76666667
ANDHRAPRADESH_KURNOOL,2012,1,1347,526,11.4,44.05674083,27.57624808,4,9,70.2
ANDHRAPRADESH_KURNOOL,2012,2,1385,567,131.8,47.17646954,32.84421147,4,9,73.96666667
ANDHRAPRADESH_KURNOOL,2012,3,1260,514,391.6,70.8706595,28.88410394,4,9,75.69230769
ANDHRAPRADESH_KURNOOL,2012,4,1448,563,145.6,70.34963082,25.86793907,4,9,75.21428571
ANDHRAPRADESH_KURNOOL,2013,1,1535,571,28.3,48.93657066,27.56296083,4.035714286,9.535714286,81.28571429
ANDHRAPRADESH_KURNOOL,2013,2,1394,582,120.3,52.72488172,32.77182796,4.034482759,11.96551724,87.72413793
ANDHRAPRADESH_KURNOOL,2013,3,1173,491,428.3,76.67496774,28.03704301,4.045454545,9.590909091,63.72727273
ANDHRAPRADESH_KURNOOL,2013,4,1428,517,144.6,74.68113978,25.62976703,4.260869565,9.217391304,67.69565217
ANDHRAPRADESH_KURNOOL,2014,1,1439,511,39.6,51.89070276,26.66766513,4.25,10.71428571,84.35714286
ANDHRAPRADESH_KURNOOL,2014,2,1465,579,117.4,47.85176344,32.44636201,4.214285714,9.785714286,78.03571429
ANDHRAPRADESH_KURNOOL,2014,3,1405,574,409.8,74.2044086,28.94397849,4.076923077,10.34615385,68.26923077
ANDHRAPRADESH_KURNOOL,2014,4,1470,574,152.7,72.14343728,25.95403226,4.384615385,9.961538462,75.34615385
ANDHRAPRADESH_KURNOOL,2015,1,1489,587,19.8,50.13104455,26.88160522,4.481481481,9.814814815,82.81481481
ANDHRAPRADESH_KURNOOL,2015,2,1495,606,179.8,53.8492509,32.06863799,5,10.33333333,84.88888889
ANDHRAPRADESH_KURNOOL,2015,3,1385,543,328.1,68.72658423,29.81879928,4.96,10.04,77.85185185
ANDHRAPRADESH_KURNOOL,2015,4,1480,603,105.4,70.33615412,27.06666667,5.296296296,11.25925926,84.11111111
ANDHRAPRADESH_KURNOOL,2016,1,1467,601,9.9,49.66212829,27.01579162,5.00877,10.816179,80.252088
ANDHRAPRADESH_KURNOOL,2016,2,1455,622,242,51.2633871,32.20387993,5.01189,10.886986,81.163272
ANDHRAPRADESH_KURNOOL,2016,3,1442,557,377.4,75.32322581,28.10794982,5.02299,11.181588,84.68099
ANDHRAPRADESH_KURNOOL,2016,4,1425,598,26.2,58.23443728,25.88141218,4.95892,11.205447,82.886338
ANDHRAPRADESH_KURNOOL,2017,1,1463,639,22.9,44.58441628,27.64969278,5.00877,14.749335,80.252088
ANDHRAPRADESH_KURNOOL,2017,2,1754,720,185.9,46.32790681,33.23577061,5.01189,14.84589,81.163272
ANDHRAPRADESH_KURNOOL,2017,3,1148,473,431.8,75.64502151,29.06591398,5.02299,15.24762,84.68099
ANDHRAPRADESH_KURNOOL,2017,4,1402,603,150.9,75.00101792,26.33648745,4.95892,15.280155,82.886338
ANDHRAPRADESH_KURNOOL,2018,1,1492,619,6.1,42.40902842,27.21054339,5.00877,17.699202,64.837815
