gbr,rfr,dtr,xgbr,nn
-12.65994754,-5.559729126,20.29411765,-5.459465027,3.926750183
41.73761645,28.17660366,24.34440104,46.34648132,-4.572540283
129.4865588,178.9740963,340.1506276,93.019104,18.79351807
-74.31945035,-47.92752114,-24.65559896,-31.97859192,-35.86590576
-89.68221293,-106.2053516,-125.1499787,-79.72015381,-20.63848877
194.435462,66.59534679,-58.42857143,186.6148071,21.07702637
89.85686472,40.04852548,33.4,29.12548828,-29.57415771
45.9698222,36.08689438,18.8500213,69.08071899,78.48388672
113.5950091,129.9891012,115.8500213,95.26449585,42.37902832
45.00601599,-9.662059376,-0.823343849,41.4030304,7.393981934
-100.7606543,-93.78715736,-105.1499787,-79.18310547,-24.10800171
-81.35293428,-65.42054328,-144.655599,-58.32228088,-5.789535522
107.4070373,92.41902768,75.8500213,90.2388916,92.42230225
-132.5058247,-215.1385907,-233.1499787,-70.37037659,17.04990387
61.49999203,42.45811499,39.17665615,50.96266174,108.8643188
-112.5907656,-203.7079497,-320.1499787,-83.81837463,-34.99437714
-114.0988151,-124.0741923,-140.1499787,-77.58181763,11.89135742
294.1374009,249.4924991,80.75,173.7849121,305.8765259
-78.92161879,-65.86367339,-123.655599,-64.1075592,-24.9511261
76.85924185,21.06470718,-32.71428571,17.10067749,-77.57995605
-141.135746,-125.4223479,-121.1499787,-97.92227173,-47.35253906
-210.4808522,-203.6306004,-214.1499787,-176.8898315,-131.0013428
-3.128319207,0.679959607,-12.1499787,12.85266113,-0.727600098
-158.9423458,-164.7451712,-210.8233438,-103.2732544,-0.758152008
103.9240939,100.375521,81.8500213,96.63812256,283.3573914
13.70145566,2.770509626,28.34440104,10.57583618,-90.04663086
172.1393001,97.499407,24.66666667,127.4458313,100.3320923
36.26028668,33.20767605,38.8500213,25.12335205,57.30895996
-26.50000797,-45.69226523,-48.82334385,-11.73321533,16.35131836
-109.2537023,-130.9131056,-148.1499787,-94.5039978,-12.44267273
42.32399853,58.32633538,-37.5,35.30865479,79.54162598
-137.4427447,-129.5986439,-205.8493724,-64.8518219,-6.645263672
75.4143263,134.3875718,24.66666667,28.92224121,25.67492676
114.6062571,166.992662,153.8500213,67.90213013,49.41342163
101.0882794,82.04308215,28.23529412,57.82757568,8.094360352
-13.20148451,-8.514517948,21.34440104,-11.43051147,27.9899292
33.00518198,34.15069493,23.8500213,40.23446655,165.7975464
105.0761355,84.19588022,65.8500213,84.28744507,90.46221924
-121.0173185,-133.1072177,-150.1499787,-67.45727539,-18.40283203
-110.2260275,-68.1977478,-136.655599,-32.14954376,-9.993782043
-290.9743181,-308.9231845,-352.1499787,-98.70159149,6.941248894
302.4424603,249.2325783,347.344401,258.1550293,231.5883484
-139.8478204,-55.6557686,-27.1499787,-100.6506653,-98.81140137
100.2033143,195.782982,206.8500213,52.93304443,-23.84594727
183.1547976,84.97884862,24,102.2617798,38.43103027
-30.03626423,-33.20883614,-58.84937238,-19.5843811,36.28042603
96.73393972,105.7400898,89.8500213,51.95062256,-25.84573364
-68.95677065,-111.979349,-128.1499787,-21.30297852,36.75544739
-9.337430986,6.738492214,12.8500213,27.14266968,77.69567871
97.52711857,105.7874688,123.344401,106.9477997,17.05279541
17.82285444,-19.3316567,-39.1499787,20.85232544,17.69543457
80.35415602,30.25931923,22.17665615,72.57252502,2.111236572
-31.73611509,-100.8137824,-90.65559896,-23.91579437,8.054466248
