gbr,rfr,dtr,xgbr,nn
-60.44853038,-27.6276039,-61.14841305,-50.38580322,5.251708984
6.753975684,-22.30548472,-112.9701493,-0.259552002,0.91619873
131.6351936,-114.8768865,244.0298507,85.85858154,-47.70410156
-229.6732411,-323.3982986,-470.9701493,-292.3952026,1.25202179
-36.54820204,-97.37060109,-706.1484131,-48.52648926,65.80656433
-133.4287356,-247.6383603,-94.5,-51.2713623,-348.5134277
-30.33876088,-141.9338068,208.8515869,-13.21862793,-188.3261719
146.6714938,134.496756,-13.14841305,119.3566284,12.49499512
-282.5330408,-491.0859761,-660.1484131,-308.7112427,-5.15435791
-297.3700131,-280.3351034,-326.9701493,-305.0907593,-224.1490479
-248.5208695,-260.3768734,-292.091858,-288.8365479,-35.28723145
25.7857615,45.31598709,66.24806202,13.83981323,30.4703064
-263.9770778,-197.5992504,-176.1484131,-229.5914307,-41.42553711
12.02334848,134.7428498,95.90814196,47.8817749,-2.598693848
204.9046601,146.3514611,322.0298507,225.3603516,-37.16448975
50.89441963,35.23733346,121.0298507,-2.211730957,16.33129883
6.345988678,148.9613934,614.8515869,70.58605957,47.78540039
124.0372798,234.2184801,190.8515869,117.3870239,12.92114258
-268.0467549,-234.8258638,-161.091858,-234.2549438,-452.0670166
108.5228815,125.3675477,185.0298507,145.0863037,0.094116211
-55.58869416,7.53146006,4.248062016,-57.46714783,18.08396912
-210.3389538,-204.5329871,-464.091858,-307.1323853,27.85954285
-29.73785694,379.6405131,326.8515869,160.9421387,17.2421875
-171.6270682,-282.8207072,-257.9701493,-248.2737427,2.642700195
340.039531,287.2900221,409.0298507,398.1560059,322.1567993
0.628897275,19.05359131,-93.14841305,-23.08599854,-194.5314941
-174.0153721,-555.1839955,-718.1484131,-301.5772095,-3.979003906
-100.5163623,-13.77363133,-200.9701493,-110.8995361,-13.45748901
-162.0883609,-142.3943189,-211.9701493,-146.8343506,-186.3388672
108.390043,245.1984803,551.908142,122.8250732,-129.2541504
154.0206696,228.8836602,124.0298507,187.2640991,53.79516602
-237.0583821,-214.9283519,-204.9701493,-274.6843262,-106.1171875
327.5396633,694.6569667,738.0298507,318.4158325,-116.0683594
-147.2243652,-177.3136005,-191.9701493,-171.6660767,-142.4508667
-18.68151003,19.72308749,-75.97014925,-15.80102539,52.25524902
-40.57700998,-165.9627082,9.029850746,-49.44464111,-117.5958862
-125.3324223,-377.414801,-551.1484131,-203.7883911,-99.35827637
34.232314,-211.9567527,-136.8222222,33.0489502,-138.5179443
10.59340536,937.1879964,-5.6,189.3503418,90.60107422
-56.5472115,-378.044705,-545.1484131,-151.3903809,-3.410675049
-32.93962646,-63.4097312,-296.1484131,-72.08526611,9.331237793
233.8862652,243.2912802,258.0298507,237.5551758,121.1074829
-400.2022963,-380.119919,-544.1484131,-393.5856934,-73.86715698
