Year,2006,,2011,,2016,,2021,,2025,
Location,total_rate,smear_rate,total_rate,smear_rate,total_rate,smear_rate,total_rate,smear_rate,total_rate,smear_rate
MADHYAPRADESH_JABALPUR,-0.1333,0.0447,0.3945,0.2551,0.0042,0.0111,-0.0634,-0.0752,-0.0064,-0.0119
MADHYAPRADESH_RATLAM,-0.5943,-0.6494,0.4099,0.0587,0.078,0.4245,0.0036,0.0711,-0.0077,-0.0175
MADHYAPRADESH_SAGAR,0.2372,0.4923,-0.6353,-0.6752,0.5549,0.6947,0.1341,-0.0621,-0.0211,-0.0199
MADHYAPRADESH_SATNA,0.507,0.478,0.3968,0.4434,0.1838,0.114,-0.2199,-0.2281,-0.0099,-0.0074
MADHYAPRADESH_SHAHDOL,-0.589,-0.4054,-0.2714,-0.3807,0.3431,0.3098,-0.0249,-0.0481,-0.0077,-0.0141
MADHYAPRADESH_SINGRAULI,-,-,-0.2944,-0.2316,0.1832,0.1307,0.2388,0.1604,0.0053,0.0081
MADHYAPRADESH_UJJAIN,0.5491,0.7157,0.339,0.1387,-0.0314,-0.0805,-0.0731,-0.0617,-0.0056,-0.0108
MAHARASHTRA_AKOLA,-0.2549,0.0036,-0.063,-0.1675,-0.1425,-0.1085,0.0676,0.0227,-0.0006,-0.0079
MAHARASHTRA_AMRAVATI,1.0532,0.9024,-0.0512,-0.0008,-0.0962,-0.0177,0.1025,-0.0274,-0.0144,-0.0194
MAHARASHTRA_AURANGABAD,0.4686,0.7042,-0.1429,0.0124,0.0035,-0.0944,0.095,0.0907,-0.0006,-0.0111
MAHARASHTRA_CHANDRAPUR,-0.0988,-0.2225,-0.2343,-0.1618,-0.0366,0.0142,0.2635,0.1583,0.0271,0.064
MAHARASHTRA_JALGAON,1.1746,1.5758,0.0151,-0.0823,-0.1861,-0.1544,0.1401,0.0662,0.0183,0.0097
MAHARASHTRA_JALNA,1.3333,0.8935,-0.2439,-0.243,-0.1546,-0.1486,0.0444,0.0099,-0.0202,-0.0373
MAHARASHTRA_KOLHAPUR,-0.0023,0.2702,-0.0885,0.0517,-0.0952,-0.0932,0.0955,0.0605,0.0022,0.0053
MAHARASHTRA_LATUR,3.264,5.3815,-0.0818,-0.2781,-0.0536,-0.0577,-0.0192,0.0919,-0.0111,-0.0037
MAHARASHTRA_NAGPUR,2.3088,2.2705,-0.0789,-0.0621,-0.2558,-0.2223,0.2955,0.2078,-0.0157,-0.0098
MAHARASHTRA_NANDED,-0.2683,-0.3123,-0.2529,-0.2059,-0.0319,-0.2184,-0.0399,0.1698,0.0047,0
MAHARASHTRA_NASHIK,0.3809,0.5612,-0.3104,-0.1711,-0.0087,-0.0076,0.1325,0.0933,0.0022,0.0011
MAHARASHTRA_PUNE,0.3115,0.2983,-0.2663,-0.1074,0.1915,0.1903,-0.0841,-0.0846,-0.0009,0.0005
MAHARASHTRA_RATNAGIRI,2.619,1.8318,-0.024,0.1612,-0.3002,-0.2128,0.3186,0.0499,-0.0152,-0.0155
MAHARASHTRA_SANGLI,0.3268,0.7209,0.0552,0.0916,-0.4094,-0.427,0.2538,0.286,-0.0034,-0.0027
MAHARASHTRA_SOLAPUR,19.1863,24.9359,-0.1399,-0.176,-0.218,-0.2885,0.3838,0.3516,0.0065,0.0031
MAHARASHTRA_THANE,2.0738,2.0975,-0.3686,-0.4144,-0.059,-0.0256,0.1721,0.0981,-0.0047,-0.0009
MANIPUR_IMPHALWEST,-0.4805,-0.6012,-0.3115,-0.1277,-0.4541,-0.4979,0.4232,0.25,0.0489,0.1133
MEGHALAYA_EASTKHASIHILLS,2.4175,1.0958,0.6165,1.1371,-0.284,-0.3543,0.1875,0.2464,-0.0277,-0.0017
MEGHALAYA_RIBHOI,-0.8712,-0.807,0.5347,0.3621,-0.4774,-0.2848,0.5432,-0.7434,0.0907,1.2414
MIZORAM_AIZAWL,1.3912,2.5231,0.2505,-0.1572,0.0008,0.3523,-0.0253,-0.0498,0.0034,0.0202
MIZORAM_CHAMPHAI,-0.9006,-0.8893,0.1008,-0.0714,0.0534,1.3462,0.3768,-0.2131,0.0105,-0.0833
MIZORAM_KOLASIB,-0.1458,0.0682,-0.0366,-0.1915,-0.1329,0.6579,0.9416,-0.3175,0.0602,0.0233
MIZORAM_LUNGLEI,-0.0142,1.9545,0.0432,-0.0462,-0.2793,-0.5,0.4785,0.0161,0.7346,1.0635
NAGALAND_DIMAPUR,0.3713,0.9385,0.3456,0.2262,-0.0779,0.1068,0.1009,-0.114,0.0398,0.0231
NAGALAND_WOKHA,-0.887,-0.7581,0.3305,0.44,-0.2229,-0.3611,0.4918,-0.5217,0.1593,-0.0303
ODISHA_CUTTACK,7.4028,21.375,-0.0355,-0.1173,-0.0216,-0.0744,-0.0173,0.1231,-0.0201,-0.0289
ODISHA_GANJAM,2.0894,2.0784,0.0904,-0.0316,-0.1585,-0.1141,0.1058,0.0985,-0.001,0.0016
ODISHA_JHARSUGUDA,0.1234,0.0633,-0.0812,-0.0089,-0.0174,0.1201,-0.0811,0.2118,-0.1007,0.0044
ODISHA_KHORDHA,1.6365,0.348,-0.363,-0.2647,-0.0959,0.0378,0.2162,0.0236,-0.0017,-0.0188
ODISHA_PURI,0.0474,0.064,-0.0357,-0.1283,-0.1985,-0.0299,0.1912,0.09,-0.0069,0.0283
ODISHA_RAYAGADA,2.6685,2.4118,0.1709,0.0928,0.0161,0.0813,-0.0285,0.0146,-0.0202,-0.0144
ODISHA_SAMBALPUR,0.2548,0.0517,0.0797,0.017,0.0759,0.1394,-0.0251,-0.1109,-0.0223,-0.0147
